notebook,source_table,source_column,destination_table,destination_column,transformation_type,transformation_expr
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),aproval_limit,approval_limit_staging (dlc_data.db),aproval_limit,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),outstanding_principal,approval_limit_staging (dlc_data.db),aproval_limit,EXPRESSION,(100000000-col('outstanding_principal'
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),bal_open_date,approval_limit_staging (dlc_data.db),bal_open_date,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),contract_id,approval_limit_staging (dlc_data.db),contract_id,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),disbursed_time,approval_limit_staging (dlc_data.db),date_key,DATE_EXPR,"date_format(date_sub(col('disbursed_time'), 1), 'yyyyMMdd'"
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),_LITERAL_,approval_limit_staging (dlc_data.db),date_key,LITERAL,lit(date_key
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),disbursed_time,approval_limit_staging (dlc_data.db),disbursed_time,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),identity_card,approval_limit_staging (dlc_data.db),identity_card,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),loan_code,approval_limit_staging (dlc_data.db),loan_code,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),national_id,approval_limit_staging (dlc_data.db),national_id,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),outstanding_principal,approval_limit_staging (dlc_data.db),outstanding_principal,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),product_id,approval_limit_staging (dlc_data.db),product_id,DIRECT,
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),_LITERAL_,approval_limit_staging (dlc_data.db),rn,LITERAL,row_number(
./dop/tracking_performance/approval_limit_staging.ipynb,contract_details (dlc_data.db),servicecode,approval_limit_staging (dlc_data.db),servicecode,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),account_number,balance_vc (dlc_data.db),account_number,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),account_number,balance_vc (dlc_data.db),account_number,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),account_number,balance_vc (dlc_data.db),account_number,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),aging_bucket,balance_vc (dlc_data.db),aging_bucket,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),aging_bucket,balance_vc (dlc_data.db),aging_bucket,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),aging_bucket,balance_vc (dlc_data.db),aging_bucket,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),close_date,balance_vc (dlc_data.db),close_date,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),close_date,balance_vc (dlc_data.db),close_date,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),close_date,balance_vc (dlc_data.db),close_date,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),contract_id,balance_vc (dlc_data.db),contract_id,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),contract_id,balance_vc (dlc_data.db),contract_id,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),contract_id,balance_vc (dlc_data.db),contract_id,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),credit_limit,balance_vc (dlc_data.db),credit_limit,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),credit_limit,balance_vc (dlc_data.db),credit_limit,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),credit_limit,balance_vc (dlc_data.db),credit_limit,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),currency,balance_vc (dlc_data.db),currency,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),currency,balance_vc (dlc_data.db),currency,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),currency,balance_vc (dlc_data.db),currency,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),customer_id,balance_vc (dlc_data.db),customer_id,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),customer_id,balance_vc (dlc_data.db),customer_id,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),customer_id,balance_vc (dlc_data.db),customer_id,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),day_past_due,balance_vc (dlc_data.db),day_past_due,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),day_past_due,balance_vc (dlc_data.db),day_past_due,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),day_past_due,balance_vc (dlc_data.db),day_past_due,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),end_date,balance_vc (dlc_data.db),end_date,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),end_date,balance_vc (dlc_data.db),end_date,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),end_date,balance_vc (dlc_data.db),end_date,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),fee,balance_vc (dlc_data.db),fee,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),fee,balance_vc (dlc_data.db),fee,DIRECT,
./key_risk_by_demographic/balance_vc_init.ipynb,daily_checkpoint_balance (dlc_data.db),fee,balance_vc (dlc_data.db),fee,DIRECT,
./key_risk_by_demographic/balance_vc_1.ipynb,daily_checkpoint_balance (vc_fi_data.db),interest,balance_vc (dlc_data.db),interest,DIRECT,
./key_risk_by_demographic/balance_vc_daily.ipynb,daily_checkpoint_balance (vc_fi_data.db),interest,balance_vc (dlc_data.db),interest,DIRECT,
